locale	jei.tooltip.shapeless.recipe	key.jei.focusSearch	key.jei.toggleOverlay
af_ZA	Vormlose resep	Kies soekbalk	Wissel itemlys-oorleg
ar_SA	وصفة بلا شكل	تحديد شريط البحث	تبديل تراكب قائمة العناصر
ast_ES	Receta ensin forma	Seleicionar barra de busca	Alternar superposición de la llista d'oxetos
az_AZ	Formasız resept	Axtarış panelini seç	Əşya siyahısı örtüyünü dəyiş
bg_BG	Безформена рецепта	Избиране на лентата за търсене	Превключване на наслагването на списъка с предмети
ca_ES	Recepta sense forma	Selecciona la barra de cerca	Commuta la superposició de la llista d'objectes
cs_CZ	Beztvarý recept	Vybrat vyhledávací lištu	Přepnout překryv seznamu předmětů
cy_GB	Rysáit ddi-siâp	Dewis y bar chwilio	Toglo troshaen y rhestr eitemau
da_DK	Formløs opskrift	Vælg søgefelt	Slå genstandslistens overlejring til/fra
el_GR	Άμορφη συνταγή	Επιλογή γραμμής αναζήτησης	Εναλλαγή επικάλυψης λίστας αντικειμένων
eo_UY	Senforma recepto	Elekti serĉbreton	Ŝalti supermeton de la objektolisto
es_ES	Receta sin forma	Seleccionar barra de búsqueda	Alternar superposición de la lista de objetos
et_EE	Kujutu retsept	Vali otsinguriba	Lülita esemete loendi ülekate
eu_ES	Formarik gabeko errezeta	Hautatu bilaketa-barra	Txandakatu objektuen zerrendaren gainjartzea
fa_IR	دستور ساخت بدون شکل	انتخاب نوار جستجو	تغییر نمایش رویی فهرست آیتم‌ها
fil_PH	Walang-hugis na recipe	Piliin ang search bar	I-toggle ang overlay ng listahan ng item
ga_IE	Oideas gan chruth	Roghnaigh barra cuardaigh	Scoránaigh forleagan liosta míreanna
gl_ES	Receita sen forma	Seleccionar barra de busca	Alternar superposición da lista de obxectos
gv_IM	Shapeless Recipe	Select Search Bar	Toggle Item List Overlay
he_IL	מתכון ללא צורה	בחירת שורת החיפוש	החלפת שכבת רשימת הפריטים
hi_IN	आकार-रहित रेसिपी	खोज बार चुनें	आइटम सूची ओवरले टॉगल करें
hr_HR	Recept bez oblika	Odaberi traku za pretraživanje	Uključi/isključi prekrivanje popisa predmeta
hu_HU	Alaktalan recept	Keresősáv kijelölése	Tárgylista átfedésének váltása
hy_AM	Անձև բաղադրատոմս	Ընտրել որոնման տողը	Փոխարկել իրերի ցանկի ծածկույթը
id_ID	Resep tanpa bentuk	Pilih bilah pencarian	Alihkan lapisan daftar item
is_IS	Formlaus uppskrift	Velja leitarstiku	Víxla yfirlagi hlutalista
it_IT	Ricetta senza forma	Seleziona barra di ricerca	Attiva/disattiva sovrapposizione elenco oggetti
ja_JP	不定形レシピ	検索バーを選択	アイテムリストオーバーレイを切り替え
ka_GE	უფორმო რეცეპტი	ძიების ზოლის არჩევა	ნივთების სიის გადაფარვის გადართვა
kw_GB	Shapeless Recipe	Select Search Bar	Toggle Item List Overlay
la_LA	Receptum informe	Virgam quaerendi selige	Indicem rerum superpositum commuta
lb_LU	Formlost Rezept	Sichbar auswielen	Iwwerlagerung vun der Géigestandslëscht wiesselen
lt_LT	Beformis receptas	Pasirinkti paieškos juostą	Perjungti daiktų sąrašo perdangą
lv_LV	Bezformas recepte	Atlasīt meklēšanas joslu	Pārslēgt priekšmetu saraksta pārklājumu
mi_NZ	Tohutao hanga-kore	Tīpakohia te pae rapu	Whakakā/whakaweto i te paparanga rārangi tūemi
ms_MY	Resipi tanpa bentuk	Pilih bar carian	Togol tindanan senarai item
mt_MT	Riċetta bla forma	Agħżel il-bar tat-tiftix	Aqleb is-sovrapożizzjoni tal-lista tal-oġġetti
nds_DE	Rezepp ahn Form	Söökbalken utsöken	Överlegg vun de Gegenstandlist ümstellen
nl_NL	Vormloos recept	Zoekbalk selecteren	Overlay van itemlijst in-/uitschakelen
no_NO	Formløs Oppskrift	Fokuser på søkeboksen	Slå på overlegg med alle artikler
oc_FR	Recèpta sensa forma	Seleccionar la barra de recèrca	Comutar la superposicion de la lista d'objèctes
pl_PL	Receptura bez kształtu	Wybierz pasek wyszukiwania	Przełącz nakładkę listy przedmiotów
pt_BR	Receita sem forma	Selecionar barra de pesquisa	Alternar sobreposição da lista de itens
ro_RO	Rețetă fără formă	Selectează bara de căutare	Comută suprapunerea listei de obiecte
se_NO	Shapeless Recipe	Select Search Bar	Toggle Item List Overlay
sk_SK	Beztvarý recept	Vybrať panel vyhľadávania	Prepnúť prekrytie zoznamu predmetov
sl_SI	Brezoblični recept	Izberi iskalno vrstico	Preklopi prekrivanje seznama predmetov
sr_SP	Безоблични рецепт	Изабери траку за претрагу	Укључи/искључи преклапање списка предмета
sv_SE	Formlöst recept	Välj sökfält	Växla överlägg för föremålslista
th_TH	สูตรคราฟต์ไร้รูปแบบ	เลือกแถบค้นหา	สลับโอเวอร์เลย์รายการไอเท็ม
tr_TR	Şekilsiz tarif	Arama çubuğunu seç	Eşya listesi katmanını aç/kapat
uk_UA	Безформний рецепт	Вибрати рядок пошуку	Перемкнути накладку списку предметів
vi_VN	Công thức không định hình	Chọn thanh tìm kiếm	Bật/tắt lớp phủ danh sách vật phẩm
