locale	jei.tooltip.cheat.mode	config.jei.advanced.hideLaggyModelsEnabled	config.jei.advanced.hideLaggyModelsEnabled.comment	gui.jei.category.craftingTable
af_ZA	Bedrogmodus	Versteek items met stadige modelle	Items met modelle wat 'n lang vertraging veroorsaak, sal uit die itemlys versteek word.	Vervaardiging
ar_SA	وضع الغش	إخفاء العناصر ذات النماذج البطيئة	سيتم إخفاء العناصر ذات النماذج التي تسبب تأخيرًا طويلًا من قائمة العناصر.	التصنيع
ast_ES	Mou trampes	Anubrir oxetos con modelos lentos	Los oxetos con modelos que causen un retrasu llargu van anubrise de la llista d'oxetos.	Fabricación
az_AZ	Fırıldaq rejimi	Ləng modelləri olan əşyaları gizlət	Uzun gecikməyə səbəb olan modelləri olan əşyalar əşyalar siyahısından gizlədiləcək.	Hazırlama
bg_BG	Режим за измама	Скриване на предмети с бавни модели	Предметите с модели, които причиняват голямо забавяне, ще бъдат скрити от списъка с предмети.	Изработка
ca_ES	Mode trampa	Amaga els objectes amb models lents	Els objectes amb models que causen un retard llarg s'amagaran de la llista d'objectes.	Fabricació
cs_CZ	Režim cheatů	Skrýt předměty s pomalými modely	Předměty s modely, které způsobují dlouhé zpoždění, budou skryty ze seznamu předmětů.	Výroba
cy_GB	Modd twyllo	Cuddio eitemau â modelau araf	Bydd eitemau â modelau sy'n achosi oedi hir yn cael eu cuddio o'r rhestr eitemau.	Crefftio
da_DK	Snydetilstand	Skjul genstande med langsomme modeller	Genstande med modeller, der forårsager lang forsinkelse, skjules fra genstandslisten.	Fremstilling
el_GR	Λειτουργία εξαπάτησης	Απόκρυψη αντικειμένων με αργά μοντέλα	Αντικείμενα με μοντέλα που προκαλούν μεγάλη καθυστέρηση θα κρύβονται από τη λίστα αντικειμένων.	Κατασκευή
eo_UY	Trompreĝimo	Kaŝi objektojn kun malrapidaj modeloj	Objektoj kun modeloj kiuj kaŭzas longan prokraston estos kaŝitaj el la listo de objektoj.	Fabrikado
es_ES	Modo trucos	Ocultar objetos con modelos lentos	Los objetos con modelos que causen un retraso prolongado se ocultarán de la lista de objetos.	Fabricación
et_EE	Pettusrežiim	Peida aeglaste mudelitega esemed	Esemed, mille mudelid põhjustavad pika viivituse, peidetakse esemete loendist.	Meisterdamine
eu_ES	Iruzur modua	Ezkutatu modelo geldoak dituzten elementuak	Atzerapen luzea eragiten duten modeloak dituzten elementuak elementuen zerrendatik ezkutatuko dira.	Fabrikazioa
